mission_id,time_1,time_2,time_3,time_4,time_5,time_6,time_7,real_x_1,real_x_2,real_x_3,real_x_4,real_x_5,real_x_6,real_x_7,real_y_1,real_y_2,real_y_3,real_y_4,real_y_5,real_y_6,real_y_7,real_z_1,real_z_2,real_z_3,real_z_4,real_z_5,real_z_6,real_z_7,vx_1,vx_2,vx_3,vx_4,vx_5,vx_6,vx_7,vy_1,vy_2,vy_3,vy_4,vy_5,vy_6,vy_7,vz_1,vz_2,vz_3,vz_4,vz_5,vz_6,vz_7,ax_1,ax_2,ax_3,ax_4,ax_5,ax_6,ax_7,ay_1,ay_2,ay_3,ay_4,ay_5,ay_6,ay_7,az_1,az_2,az_3,az_4,az_5,az_6,az_7,roll_1,roll_2,roll_3,roll_4,roll_5,roll_6,roll_7,pitch_1,pitch_2,pitch_3,pitch_4,pitch_5,pitch_6,pitch_7,yaw_1,yaw_2,yaw_3,yaw_4,yaw_5,yaw_6,yaw_7,wind_x_1,wind_x_2,wind_x_3,wind_x_4,wind_x_5,wind_x_6,wind_x_7,wind_y_1,wind_y_2,wind_y_3,wind_y_4,wind_y_5,wind_y_6,wind_y_7,wind_z_1,wind_z_2,wind_z_3,wind_z_4,wind_z_5,wind_z_6,wind_z_7,erreur_m_1,erreur_m_2,erreur_m_3,erreur_m_4,erreur_m_5,erreur_m_6,erreur_m_7,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,velocity_6,velocity_7,rain_1,rain_2,rain_3,rain_4,rain_5,rain_6,rain_7,fog_1,fog_2,fog_3,fog_4,fog_5,fog_6,fog_7,snow_1,snow_2,snow_3,snow_4,snow_5,snow_6,snow_7,is_attack
2.0,1747220399.6458547,1747220400.1508274,1747220400.6562672,1747220401.1602657,1747220401.664096,1747220402.1672962,1747220402.6716588,2.0,2.197817453308123,2.1482208132215868,1.808120425390328,1.169091277972464,0.2615553275524854,-0.8455795490339945,0.0,0.7779369011450796,1.6646321509654174,2.5673112991572866,3.378795995661453,3.9902132901341294,4.30472606629093,-5.0,-4.5,-4.0,-3.5,-3.0,-2.5,-2.0,0.014151107519865,-0.0018955554114654,-0.000237959131482,-0.0006663204403594,-0.0023036575876176,-0.0010470752604305,0.0051828529685735,0.0118080433458089,0.0054738577455282,0.0098894219845533,0.0108118094503879,0.0084687015041708,0.0055876462720334,0.0098825395107269,0.0066880802623927,0.0096042435616254,0.0071156090125441,0.0066562560386955,0.0029371597338467,0.0060947639867663,0.0044307187199592,-0.0106449723243713,-0.0828201919794082,-0.1101464927196502,-0.0992626994848251,-0.1313001811504364,-0.1476607620716095,-0.1290511041879654,0.0713726580142974,0.0228287000209093,-0.0154592040926218,0.0045855827629566,-0.0470089986920356,0.0406988821923732,0.0612048171460628,-9.770621299743652,-9.75098705291748,-9.84351921081543,-9.882515907287598,-9.808177947998049,-9.850605964660645,-9.822149276733398,-0.0070494048343641,-0.0048961595484398,-0.0061795157185432,-0.0063541667646832,-0.0056403978834622,-0.00483665991198,-0.0050155519924243,0.0102843552854578,0.0100590295544316,0.0112689635986831,0.0108850533465739,0.0111486302366351,0.0115713235705687,0.0129316504269625,-2.6276116826638383,-2.6270905032844167,-2.6267319881283413,-2.6267665484040585,-2.6271479501371844,-2.62740236851618,-2.627375079733489,3.428802181914845,2.5036292381265515,3.202832046558898,2.967217821245913,3.360674810051637,3.283514198333076,3.4383577918173005,1.589200443448024,1.794970819055565,1.9610438011069544,2.25123571657332,1.863842229616817,2.056682634109851,2.182264285319671,0.5176997402313259,0.5987501762918428,0.5375617927993657,0.5618494207956061,0.4580875830975812,0.5585604714783655,0.5187607978387377,3.2141609528277777,2.870307827546994,2.698610963000404,2.7581179519913293,3.0431209650337148,3.4848821430044032,4.001416525046045,6.03,6.03,6.03,6.03,6.03,6.03,6.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.165,0.165,0.165,0.165,0.165,0.165,0.165,1.0
2.0,1747220403.176373,1747220403.6804063,1747220404.1866484,1747220404.6921256,1747220405.1999693,1747220405.7039263,1747220406.2079737,-2.049999999999999,-3.2254282360512363,-4.234553679141369,-4.944154131125643,-5.240803378993181,-5.045425660253547,-4.325006043795975,4.250704155516198,3.792760046192045,2.939253573852523,1.7452113308808737,0.3100759892662778,-1.2297489390583247,-2.713019152848425,-1.5,-1.0,-0.5,0.0,0.5,1.0,1.5,0.0135102430358529,0.018107259646058,0.0177854504436254,0.0092608202248811,0.0021365748252719,0.0044481703080236,-0.000649859313853,0.0092862816527485,0.0035787792876362,-0.0056968182325363,-0.0124228140339255,-0.0164642035961151,-0.0113860098645091,-0.0107393441721796,0.0062090018764138,0.0004323054163251,-0.0048331012949347,-0.0027265395037829,-0.0013741559814661,-0.0013985866680741,-0.0033422138076275,-0.1219808161258697,-0.1308164298534393,-0.1119998395442962,-0.1030493676662445,-0.0826213359832763,-0.1080329120159149,-0.1496261060237884,0.0045291245914995,0.0112266894429922,-0.028973501175642,0.0278946887701749,0.0579220801591873,0.0068876347504556,0.0038036480545997,-9.863114356994627,-9.844761848449709,-9.831847190856934,-9.867115020751951,-9.78555393218994,-9.792933464050291,-9.796670913696287,-0.006085456350912,-0.0072009452547261,-0.0069305014433953,-0.0055653994522022,-0.0047516625836764,-0.0056896998788618,-0.0041373868970772,0.0138927967857209,0.0136499697218503,0.01274319794802,0.0123438542751761,0.0115717342224174,0.0103768458098526,0.0086122230742073,-2.627180889855216,-2.6272088404262224,-2.6273171921452665,-2.6271797091421174,-2.6268520682504684,-2.62684808300652,-2.626952955975667,3.4422337550051187,3.4589363130038424,3.361797430813883,2.825574027141001,2.603894231276901,3.1254619568015505,3.231455478365288,2.2254071403405287,2.249528839835536,2.0967831884513104,1.7821150775713752,1.63048384382802,2.0990547458871283,1.5707196944892794,0.5986145688937272,0.5284280426100314,0.4721430011982251,0.5399295753567641,0.4720855406677438,0.5630558629168926,0.5364101123281451,4.537204566663791,5.058544403418294,5.540136782998375,5.962872455253965,6.32157223661397,6.618649426653512,6.869517144235194,6.03,6.03,6.03,6.03,6.03,6.03,6.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.165,0.165,0.165,0.165,0.165,0.165,0.165,1.0
2.0,1747220406.712537,1747220407.2166193,1747220407.720296,1747220408.2238889,1747220408.7281842,1747220409.233217,1747220409.7371647,-3.1000000000000028,-1.4463860707160447,0.5081646363876857,2.593921273001407,4.613824533754626,6.362038562233158,7.644582446289123,-3.9693575034635176,-4.837031429181853,-5.180985820832024,-4.9092036153738485,-3.985552970263421,-2.437564447089895,-0.3580413952872376,2.0,2.5,3.0,3.5,4.0,4.5,5.0,-0.0009427961776964,-0.0034982089418917,-0.0025213812477886,-0.0057678925804793,0.0022003124468028,-0.0005224295891821,0.009612251073122,-7.391966937575489e-05,0.0121741537004709,0.0176044888794422,0.0197058301419019,0.0207154154777526,0.0097158951684832,0.0014994748635217,-0.0046657929196953,-0.0059855016879737,-0.0086034992709755,-0.0093679074198007,-0.0039490591734647,0.0035788237582892,-7.427300442941487e-05,-0.1024176850914955,-0.2037145793437957,-0.0534669868648052,-0.190635859966278,-0.1107672005891799,-0.1115044355392456,-0.0550115257501602,-0.0571778863668441,0.0288495477288961,-0.0583007410168647,0.0708355158567428,-0.014485583640635,-0.0206756424158811,-0.0077260313555598,-9.81152057647705,-9.798827171325684,-9.80887508392334,-9.848030090332031,-9.882904052734377,-9.800785064697266,-9.879539489746094,-0.004060019727991,-0.0044422652989552,-0.0051130651426213,-0.0042593395270383,-0.0054053151843656,-0.0034877252307478,-0.0040681319554698,0.0083154883026212,0.0094962514375289,0.0101276846002195,0.0119727198191539,0.0133255509166785,0.0143835608579927,0.0136947896031101,-2.627178446125316,-2.627153161901611,-2.626925592994444,-2.6267151320836626,-2.626940174881622,-2.627253883353612,-2.6274975396941245,3.13267671573184,2.544020074965636,3.256195066957938,2.57501715391468,3.495596790153319,2.5838007106137906,3.320583823456011,1.922411490090204,2.4470232597711767,1.7392557283926318,2.498205058293833,2.045341235892946,2.014186506660984,1.5246010079250747,0.5690377346872959,0.5410472589155984,0.4902309559546099,0.4339046307796192,0.4545608012920348,0.5585062614429117,0.4629303631616084,7.107670485640435,7.375329028687986,7.7133708761611555,8.157499407540373,8.729397251552411,9.425399209550998,10.22990743630847,6.03,6.03,6.03,6.03,6.03,6.03,6.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.053,0.053,0.053,0.053,0.053,0.053,0.053,0.165,0.165,0.165,0.165,0.165,0.165,0.165,1.0
3.0,1747220438.036821,1747220440.5599566,1747220443.2053585,1747220445.6832302,1747220447.9757507,1747220450.3288772,1747220452.3696115,0.3850623369216919,2.462639331817627,3.969398021697998,6.320701599121094,8.002811431884766,10.087020874023438,11.923396110534668,4.45143985748291,5.180106163024902,4.970165729522705,4.855854034423828,5.284792423248291,4.723376274108887,5.190463066101074,-3.8740310668945312,-3.877197265625,-3.793380737304688,-3.691246032714844,-3.59234619140625,-3.5010910034179688,-3.3998031616210938,-0.036293800920248,0.3539895713329315,0.2482064217329025,0.467844009399414,0.3493139743804931,0.5585729479789734,0.5768627524375916,-0.923370122909546,0.7864207625389099,-0.628771185874939,0.4893529117107391,-0.3550587892532348,0.2035566419363021,-0.0080626057460904,-0.0820262134075164,-0.0104945451021194,-0.0120885735377669,0.0202712025493383,0.0073491334915161,0.0143041033297777,0.0278336703777313,-0.0934623926877975,-0.0176137294620275,-0.0756753012537956,-0.003067273646593,-0.114723801612854,-0.0754836499691009,-0.0810785889625549,-0.0319707244634628,-0.0021400395780801,-0.0470450147986412,0.0190595146268606,-0.0421959981322288,0.0573758110404014,-0.0051375143229961,-10.19796085357666,-9.954459190368652,-9.89133071899414,-9.919998168945312,-9.85944366455078,-9.924308776855469,-9.89959716796875,0.0831526781810362,-0.1888180387952005,0.0141318955975467,-0.1286889416837021,-0.0622516836547104,-0.0753217048242455,-0.0921027046043527,-0.1710218421663217,0.0236909136839347,-0.0683395785141148,-0.0384580288009416,-0.018567911494675,-0.0653089037658681,-0.0074094869646762,-2.39977111259772,-2.40993370641657,-2.433255621193509,-2.4392198355262003,-2.4562874758134576,-2.460117621907256,-2.4656706742323675,2.959140238187605,3.026082606284347,2.6687448150027944,3.0684111420240177,3.1759388953714343,2.906751469914153,2.7688715833337154,2.24831495619281,2.2002156234832,2.154816224330508,1.886352404338549,2.424954668703675,1.9234645879983152,1.8944704278383988,0.5715538101355363,0.476887199873469,0.5087678290896018,0.5732020543061558,0.5377673791945705,0.4867498067495452,0.54538743965539,0.6819526415974166,0.4969842512587193,0.0432478832954648,0.3517160886481357,0.2849091245903966,0.2899905317939583,0.2052909500567094,8.73,8.73,8.73,8.73,8.73,8.73,8.73,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.189,0.189,0.189,0.189,0.189,0.189,0.189,1.0
3.0,1747220454.4732018,1747220456.571951,1747220458.692598,1747220460.77353,1747220462.8757546,1747220464.973953,1747220467.0764797,13.969520568847656,15.951855659484863,17.97130012512207,19.952003479003903,21.94831085205078,23.96818923950196,25.95085525512696,4.94677209854126,4.942882537841797,5.081538677215576,4.954214096069336,5.006925106048584,5.034143924713135,4.984084129333496,-3.2985916137695312,-3.2009811401367188,-3.0982437133789062,-2.9969635009765625,-2.8991470336914062,-2.8001708984375,-2.704994201660156,0.6329504251480103,0.5787202715873718,0.5962231159210205,0.6020298600196838,0.5991699695587158,0.5911838412284851,0.5908942818641663,-0.0909485518932342,0.1090218499302864,-0.053620059043169,-0.0021330814342945,0.0325406715273857,-0.0342830196022987,0.0069577577523887,0.0203680843114852,0.0200109127908945,0.0187223870307207,0.0197354778647422,0.0216955747455358,0.0262889880686998,0.0188010577112436,-0.1767343878746032,-0.1246205568313598,-0.0733958929777145,-0.0372666120529174,-0.0886850208044052,0.0215583443641662,0.0040125027298927,-0.0275598857551813,-0.0910445004701614,-0.0556293092668056,0.0761370733380317,0.0490858070552349,0.1023255810141563,0.0308355540037155,-9.940581321716309,-9.866771697998049,-9.888908386230469,-9.91904067993164,-9.94381618499756,-9.757248878479004,-9.94898796081543,-0.0742179883690133,-0.0801409560281461,-0.0865682688720968,-0.0765498487711932,-0.0832067133474253,-0.0836215726980861,-0.0793668226499578,-0.0587511585126616,-0.0356771732870969,-0.0345136074580646,-0.0458853210999352,-0.0347346262915825,-0.0390171980802598,-0.0398605826197752,-2.4683577559574608,-2.4695012354772903,-2.4713983591961,-2.4728016039494984,-2.47418579321811,-2.4754100695834294,-2.476970938366255,3.142362211793551,2.5939367647102283,3.220102407316899,2.8634509093974785,2.719461985022253,3.16378897740758,2.6362940111495936,2.014092251962496,1.6879306949942112,1.8682823939695463,2.255606783903542,1.94180659226166,1.6115205606169043,2.403471845134476,0.526435821418727,0.5400626075983801,0.4312213626510109,0.5794534918398683,0.5755015795812093,0.5704351162893421,0.4396703146621825,0.0613529850035513,0.0747077281343709,0.0864599516699504,0.0664020734073552,0.0521579587505488,0.0466664899532443,0.0518985831977334,8.73,8.73,8.73,8.73,8.73,8.73,8.73,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.189,0.189,0.189,0.189,0.189,0.189,0.189,1.0
3.0,1747220469.1779373,1747220471.2798576,1747220473.3830442,1747220475.4641635,1747220477.542385,1747220479.6426344,1747220481.7442105,27.945863723754883,29.9672908782959,31.947715759277344,33.94922637939453,35.951515197753906,37.967811584472656,39.9711799621582,5.0037713050842285,5.0229692459106445,4.9936113357543945,4.997251033782959,5.022475719451904,5.0027289390563965,4.980545520782471,-2.59564208984375,-2.503326416015625,-2.4009323120117188,-2.296836853027344,-2.19482421875,-2.1007003784179688,-2.007148742675781,0.6076410412788391,0.5889114737510681,0.5983769297599792,0.6120010614395142,0.61021888256073,0.6144881844520569,0.5854937434196472,0.0113185374066233,-0.010209179483354,-0.0063676605932414,0.0121117355301976,-0.0130038671195507,-0.0132058886811137,0.0146733513101935,0.0212851669639349,0.0207702536135911,0.0215774551033973,0.0231097619980573,0.020696748048067,0.0249706897884607,0.0251680742949247,0.0002538003027439,-0.0481231287121772,-0.1397845447063446,-0.0447050966322422,-0.0680098310112953,-0.0446937903761863,-0.064941830933094,0.0231408290565013,-0.0287119001150131,-0.0378240197896957,0.0446005165576934,0.0207185223698616,-0.0075935199856758,-0.0055846967734396,-9.920150756835938,-9.84459400177002,-9.90448760986328,-9.861321449279783,-9.835700988769531,-9.883151054382324,-9.919644355773926,-0.0827162983303099,-0.0844153140286721,-0.0806211867727005,-0.0835856803066617,-0.0844962003118129,-0.0848533699658966,-0.0830735727226351,-0.0379023501027525,-0.0380172154256951,-0.0402604141777936,-0.0386874753669183,-0.0373517165440854,-0.0407906797494627,-0.0390997647192561,-2.477806922635105,-2.47904734671992,-2.479994258926714,-2.482637457585759,-2.485354163025953,-2.4902331956994352,-2.4949394281927484,2.743382212376334,2.8613929639751023,3.224494976085692,3.2147082645954947,3.085517700881948,3.429991576077193,3.1881203665626856,1.7604900290336118,2.226347505977272,1.7986821506300217,2.1468303687322328,2.0405442639836764,1.997020565190653,2.0051102986188893,0.5560405774014142,0.4368888238086693,0.4145471516557692,0.573598884888973,0.5824218194759819,0.5623919356569533,0.4236131951221377,0.0544421760095599,0.0401065823009939,0.0526813635403919,0.0509462742840055,0.0536909929622405,0.0323114798866104,0.0354989558251006,8.73,8.73,8.73,8.73,8.73,8.73,8.73,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.189,0.189,0.189,0.189,0.189,0.189,0.189,1.0
7.0,1744993275.1859937,1744993290.1455655,1744993292.857126,1744993295.023919,1744993297.7609067,1744993300.0905664,1744993302.3391168,-0.066921442747116,2.0933678150177,4.3622822761535645,6.090193748474121,8.216639518737793,10.049528121948242,12.063518524169922,2.092857599258423,-1.2271597385406494,0.3646756112575531,-0.026462672278285,-0.0981116890907287,0.1631015390157699,-0.2641976177692413,-5.013519287109375,-5.008049011230469,-4.980491638183594,-4.976318359375,-5.014274597167969,-4.9896392822265625,-4.992805480957031,0.1783578842878341,-0.6000128388404846,0.726606011390686,0.1885862499475479,0.3788196742534637,0.4842458963394165,0.5215724110603333,1.8628696203231807,-0.8293851613998413,0.7864623665809631,-0.6868502497673035,0.5423427224159241,-0.3601427674293518,0.2518807053565979,0.3744831383228302,-0.0945375487208366,0.022329743951559,-0.0403644256293773,0.0203819125890731,0.0036758757196366,6.122342892922461e-05,-0.1223550587892532,-0.126320868730545,-0.0225946679711341,-0.1064218431711196,-0.0577430836856365,-0.0361992493271827,-0.101824939250946,0.0321081653237342,-0.0658419281244278,0.0386680997908115,0.059315450489521,-0.0106546720489859,-0.0700996592640876,0.0432944595813751,-12.430852890014648,-10.084425926208496,-10.110069274902344,-9.862065315246582,-9.90065860748291,-9.87444305419922,-9.825641632080078,-0.1155841118626195,0.0968079111571387,-0.1949371144825306,-0.0455845753237867,-0.1116594539912542,-0.0845362596363632,-0.0951011661402446,0.645302232795677,-0.264819798275699,0.1396951136934223,-0.0885558789140711,0.0355155051661484,-0.0266846099478041,-0.0275799412064419,-3.056195619756396,-2.9565941000833096,-2.9607148850769858,-2.9553557475069527,-2.9528950444453947,-2.9638005626468,-2.9590455517613683,3.141889157806129,3.4432363305070326,3.172631352302372,3.3121257047982064,2.684080762528257,2.760482224248352,3.319278910154841,2.233741208651295,1.9854786696415387,2.035370855773268,1.9622602474595083,1.8248590216170308,2.329018284616135,2.379047834562704,0.4516150222614247,0.4800660207255676,0.483971993463098,0.5861188403400674,0.4305569136451196,0.589297143183583,0.5280226898620498,2.0939709122614456,1.230732854586292,0.5144096861858624,0.0969329943342956,0.2382485020718622,0.1707702882992633,0.271821164098616,10.13,10.13,10.13,10.13,10.13,10.13,10.13,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.181,0.181,0.181,0.181,0.181,0.181,0.181,0.347,0.347,0.347,0.347,0.347,0.347,0.347,1.0
7.0,1744993304.4592762,1744993306.5459435,1744993308.62822,1744993310.731299,1744993313.0680006,1744993314.417517,1744993316.6069813,13.957330703735352,15.971678733825684,17.95623207092285,19.968355178833008,17.651132583618164,16.027307510375977,14.070467948913574,0.1964181214570999,-0.1051193475723266,-0.0027994199190288,0.0520327724516391,-0.1129457801580429,0.0207162294536829,0.0363535061478614,-4.996177673339844,-4.999153137207031,-4.995040893554688,-4.990699768066406,-4.9660186767578125,-5.0106048583984375,-5.008056640625,0.5781399607658386,0.6172773241996765,0.5876588225364685,0.6114974617958069,-0.9550233483314514,-0.6766461133956909,-0.6052943468093872,-0.0660739466547966,-0.0577153898775577,0.1067127287387847,-0.0751473605632782,0.0821182653307914,0.0722654536366462,-0.0573758222162723,0.0046049212105572,0.0098453434184193,0.0055260765366256,0.0017758894246071,-0.0690162777900695,-0.0236213095486164,-0.0052049388177692,-0.0604333654046058,-0.0537244714796543,-0.0331325680017471,-0.0762738585472107,-0.1946353018283844,-0.0826452523469924,-0.2170007675886154,-0.0163606368005275,-0.032465822994709,-0.0379184819757938,0.0091864727437496,-0.0331423282623291,-0.0695460364222526,-0.0256140045821666,-9.85305118560791,-9.816736221313477,-9.882863998413086,-9.86540985107422,-9.973610877990724,-9.740352630615234,-9.871183395385742,-0.0921702664004534,-0.0915158679214704,-0.093459361223419,-0.0954409850822424,0.1661239839641721,0.0850832178091351,0.0701993807923188,0.0118572091132196,-0.0413778751460672,-0.0021536638450495,-0.0160471762937787,0.0236845490343358,0.0303725543912804,0.0179253100791109,-2.962436772185374,-2.9612160735330093,-2.9630041985789672,-2.963827209500736,-2.957629781504992,-2.957435220292554,-2.9563482938779844,3.116952257573266,3.1728783436772434,2.874723883785281,2.888555852039924,3.2154179338989857,2.9815409383327967,3.472671405511972,2.082928759664798,2.003390531142093,2.393769010421772,1.804879295511911,1.7505685929810144,1.5637225556190384,1.8028666555181747,0.4811431636581895,0.4583785286562574,0.480681194626921,0.5048245246139242,0.4268823889194268,0.4365517119960897,0.455453653845016,0.2010357119060027,0.1088709719270394,0.0441368452012747,0.0616059934561046,0.3682661453320632,0.0358793158708832,0.0797008073452779,10.13,10.13,10.13,10.13,10.13,10.13,10.13,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.181,0.181,0.181,0.181,0.181,0.181,0.181,0.347,0.347,0.347,0.347,0.347,0.347,0.347,1.0
7.0,1744993318.7480488,1744993320.798046,1744993322.9005954,1744993325.0003884,1744993327.0582,1744993329.1207235,1744993333.201327,12.00412654876709,10.038884162902832,8.03743839263916,6.052047729492188,4.058266639709473,2.0379419326782227,-0.2865324020385742,-0.0658556148409843,0.0200572051107883,-0.003655248787254,-0.0311155635863542,-0.0018058673013001,0.005554755218327,0.0037927599623799,-5.002967834472656,-5.001091003417969,-4.99810791015625,-5.004684448242188,-5.0040130615234375,-4.999244689941406,-4.2772064208984375,-0.6536176204681396,-0.625219464302063,-0.5998433232307434,-0.6424762606620789,-0.6190484762191772,-0.630769670009613,0.0556693486869335,0.0469046980142593,0.0135917952284216,-0.0151561116799712,0.0236840695142745,0.0097538465633988,-0.0017109354957938,0.0319054126739501,-0.0083896266296505,-0.0112729929387569,-0.016401182860136,-0.0109470505267381,-0.0099161826074123,-0.0167327392846345,0.8052986264228821,-0.0990800410509109,-0.0035298392176628,-0.1875338554382324,-0.1353330165147781,-0.0285091176629066,-0.0272830948233604,-0.1340984851121902,-0.0154185201972723,-0.0603541582822799,-0.0143855698406696,-0.0476740449666976,-0.005143545102328,0.0504007413983345,0.0005544926971197,-9.881465911865234,-9.88709545135498,-9.832564353942873,-9.874343872070312,-9.842574119567873,-9.839034080505373,-9.713019371032717,0.0914750619781344,0.084236436151934,0.0823342128040656,0.088616611263093,0.0829680769254779,0.0884767482183579,0.001546980393964,0.0146106887104962,0.0233082450683552,0.0154270909846395,0.0165544252457697,0.0184737194188234,0.0196382362511448,-0.0012203359638507,-2.958494974875318,-2.959338054363258,-2.9601314729772144,-2.9611276252290346,-2.96224802231917,-2.962371451102229,-2.9616336112909427,2.556332025433096,2.537608811464631,3.277415992170254,2.7537042383745325,3.119833371223341,2.624000158374153,3.083651105970109,2.4943729604980134,1.756868368695891,2.287751324577292,1.8173652162571383,1.6275570694836246,2.342501886291772,2.23301787346072,0.4304033481703493,0.554117108777655,0.5635259119936693,0.5484873325798416,0.4603166301107466,0.5961650495406342,0.447599694283317,0.0660514833464649,0.0437659672573134,0.0376639627638604,0.0608201323405507,0.0584325861359421,0.0383538271125441,0.7775254082257209,10.13,10.13,10.13,10.13,10.13,10.13,10.13,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.181,0.181,0.181,0.181,0.181,0.181,0.181,0.347,0.347,0.347,0.347,0.347,0.347,0.347,1.0
11.0,1744993598.0577867,1744993599.529291,1744993600.9144645,1744993603.6236663,1744993605.8289857,1744993608.0574863,1744993609.5912986,-0.0656773075461387,2.390627145767212,3.72105073928833,5.990694999694824,7.876947402954102,9.965880393981934,12.200522422790527,-0.0163020733743906,0.0297736339271068,0.0396639853715896,-0.0296679325401783,0.0321106985211372,-0.0075168060138821,0.007360144983977,-4.96588134765625,-4.8842315673828125,-5.017021179199219,-5.016609191894531,-4.996070861816406,-5.00347900390625,-4.918617248535156,0.0230579506605863,1.0457401275634766,0.2857927978038788,0.5328841805458069,0.510851263999939,0.6020181775093079,0.7001312375068665,0.0118261016905307,0.0430877059698104,-0.0544634237885475,0.0470394752919673,-0.0234681628644466,-0.003117972286418,0.0267044100910425,-0.4001007378101349,-0.0674495622515678,-0.0878853350877761,0.0327864848077297,-0.0018268885323777,0.0104613611474633,-0.1079715341329574,0.0452249273657798,-0.0370974540710449,-0.0997774824500083,-0.0773475021123886,-0.02763032913208,0.069461278617382,-0.0194798521697521,-0.0650032684206962,0.0222298838198184,0.033215194940567,-0.0277544185519218,-0.0139713967218995,-0.0065049226395785,-0.0440857596695423,-8.625965118408203,-10.379156112670898,-9.718520164489746,-9.85293197631836,-9.898910522460938,-9.81463623046875,-9.945210456848145,0.0057151154418421,-0.2585183967884764,-0.06269763062931,-0.1108393341797557,-0.0814630867516353,-0.0991861701378973,-0.1858198824250961,0.0026244512578006,-0.0266006522059939,-0.0049817969832109,-0.0142126508652381,-0.0080120055071085,-0.0147013584950054,-0.0212937166687266,-3.0127405079061926,-2.9941028507618337,-2.977571849006261,-2.966005441375418,-2.966912634285221,-2.970252895856682,-2.9919117889992086,2.914030025314833,3.2788551659311995,2.63563096692812,3.2393539353599405,3.179011377253486,2.8193230146452377,3.447706288283356,1.811294693173343,1.7262151341468757,1.945533669287422,2.1725214131841435,1.8524594314772624,1.7379432568469673,1.8834010915020265,0.4579573177745862,0.49969788826295,0.4478124503557646,0.5381889708191515,0.4554203465862543,0.4674397471146959,0.4545270584776141,0.0757848847763707,0.4085074861959132,0.2822687413237194,0.0352510213650222,0.1272339448658312,0.0351105875151372,0.2165330598591279,9.63,9.63,9.63,9.63,9.63,9.63,9.63,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.492,0.492,0.492,0.492,0.492,0.492,0.492,0.228,0.228,0.228,0.228,0.228,0.228,0.228,1.0
